DATE,HDFCBANK,ICICIBANK,SBI,KOTAKBANK,NIFTY,BANKNIFTY
2017-06-29,815.79,286.475,269.958,946.293,9504.1,24015.051
2017-06-30,810.394,283.447,271.147,953.677,9520.9,24022.051
2017-07-03,813.607,283.349,272.336,946.792,9615.0,24152.65
2017-07-04,811.032,282.812,270.503,956.72,9613.3,24213.35
2017-07-05,808.775,286.085,272.385,957.768,9637.6,24257.051
2017-07-06,813.386,286.964,278.429,956.022,9674.55,24420.85
2017-07-07,817.825,283.007,277.538,962.607,9665.8,24520.699
2017-07-10,822.314,284.717,282.938,965.9,9771.05,24670.699
2017-07-11,824.301,282.958,280.956,956.67,9786.05,24922.4
2017-07-12,824.718,285.596,285.019,955.173,9816.1,24811.301
2017-07-13,825.846,291.018,286.108,960.614,9891.7,25103.65
2017-07-14,824.08,291.36,288.932,975.691,9886.35,25122.801
2017-07-17,825.257,296.488,290.32,978.187,9915.95,25055.199
2017-07-18,825.846,296.879,288.338,975.591,9827.15,24675.051
2017-07-19,830.138,295.267,290.617,992.665,9899.6,24827.449
2017-07-20,839.262,293.655,288.288,978.486,9873.3,24906.35
2017-07-21,835.411,295.072,287.991,997.906,9915.25,24599.5
2017-07-24,851.133,296.049,291.855,991.416,9966.4,24374.6
2017-07-25,853.365,297.123,293.391,986.424,9964.55,24217.35
2017-07-26,857.24,303.18,293.094,985.026,10020.65,23985.75
2017-07-27,877.892,300.103,295.621,996.608,10020.55,24115.75
2017-07-28,872.422,289.308,296.364,1011.136,10014.5,24437.699
2017-07-31,875.317,295.609,309.641,1020.072,10077.1,24237.25
2017-08-01,881.595,295.609,306.173,1013.732,10114.65,24074.449
2017-08-02,878.873,294.877,304.885,1009.339,10081.5,23936.5
2017-08-03,873.134,288.869,297.801,994.861,10013.65,23974.449
2017-08-04,878.186,289.406,302.458,994.661,10066.4,24316.801
2017-08-07,877.352,293.216,308.353,996.359,10057.4,24274.199
2017-08-08,872.128,288.673,300.872,986.175,9978.55,24377.1
2017-08-09,865.53,283.887,299.535,990.867,9908.05,24128.949
2017-08-10,863.568,282.079,293.986,995.26,9820.25,24308.699
2017-08-11,857.976,280.321,277.587,990.668,9710.8,24318.4
2017-08-14,861.974,285.059,275.655,981.082,9794.15,24434.0
2017-08-17,865.996,286.378,278.281,987.473,9904.15,24328.301
2017-08-18,859.497,286.378,276.15,982.031,9837.4,24279.15
2017-08-21,855.106,286.719,272.137,968.053,9754.35,24304.9
2017-08-22,856.97,287.159,271.394,969.301,9765.55,24370.801
2017-08-23,869.455,291.702,276.448,978.586,9852.5,24672.25
2017-08-24,864.574,290.822,277.736,970.599,9857.05,24784.699
2017-08-28,864.451,293.949,276.794,974.542,9912.8,24831.801
2017-08-29,856.553,292.581,274.466,962.911,9796.05,24912.25
2017-08-30,867.542,293.362,274.07,969.85,9884.4,24844.301
2017-08-31,871.417,291.164,275.209,974.493,9917.9,25046.9
2017-09-01,867.076,291.409,275.308,991.017,9974.4,25041.551
2017-09-04,858.884,290.236,275.209,976.589,9912.85,24965.051
2017-09-05,861.066,290.725,274.02,986.873,9952.2,24799.25
2017-09-06,863.298,288.527,271.741,994.612,9916.2,24368.85
2017-09-07,866.56,285.889,271.692,991.966,9929.9,24165.051
2017-09-08,876.911,285.254,269.314,1005.994,9934.8,24199.15
2017-09-11,894.423,284.082,268.471,1004.945,10006.05,23812.949
2017-09-12,900.236,284.473,270.948,1020.172,10093.05,24008.15
2017-09-13,903.498,285.254,270.899,1018.574,10079.3,24053.0
2017-09-14,902.296,286.915,271.692,1006.044,10086.6,24103.4
2017-09-15,906.981,284.863,269.016,1003.498,10085.4,24113.301
2017-09-18,912.622,286.231,267.926,1015.479,10153.1,24058.051
2017-09-19,907.349,287.843,265.35,1032.753,10147.55,24190.0
2017-09-20,906.932,283.838,267.58,1021.62,10141.15,24251.9
2017-09-21,902.149,278.367,266.044,1027.561,10121.9,24347.449
2017-09-22,894.791,270.698,259.455,1020.322,9964.4,24107.449
2017-09-25,882.846,273.043,256.383,997.956,9872.6,24361.25
2017-09-26,879.192,276.218,255.888,992.465,9871.5,24689.15
2017-09-27,871.441,270.015,248.109,978.087,9735.75,24703.051
2017-09-28,880.664,269.575,250.24,1003.697,9768.95,24645.6
2017-09-29,885.765,270.21,251.528,1000.702,9788.6,24313.75
2017-10-03,887.31,271.968,249.001,1004.995,9859.5,24009.75
2017-10-04,881.497,269.721,250.884,1027.86,9914.9,24088.9
2017-10-05,882.282,265.521,249.298,1031.205,9888.7,24222.15
2017-10-06,883.018,265.667,254.401,1037.895,9979.7,25035.9
2017-10-09,880.762,265.472,254.5,1048.328,9988.75,25022.199
2017-10-10,884.293,263.567,254.599,1054.02,10016.95,24839.551
2017-10-11,878.137,261.418,249.447,1042.238,9984.8,24988.551
2017-10-12,892.191,261.369,248.902,1055.966,10096.4,25019.35
2017-10-13,907.888,265.032,249.794,1080.678,10167.45,25490.449
2017-10-16,911.003,267.914,249.744,1080.828,10230.85,25427.301
2017-10-17,908.109,267.572,248.852,1076.934,10234.45,25650.699
2017-10-18,916.571,257.071,241.52,1094.207,10210.85,25571.15
2017-10-19,906.711,251.893,240.529,1076.085,10146.55,25300.801
2017-10-23,914.02,256.484,243.7,1059.911,10184.85,25184.35
2017-10-24,915.884,260.392,252.122,1064.054,10207.7,25291.35
2017-10-25,880.565,298.638,321.928,1008.989,10295.35,25498.949
2017-10-26,880.688,292.337,317.568,1017.326,10343.8,25358.301
2017-10-27,878.579,294.193,308.204,1027.411,10323.05,25284.6
2017-10-30,890.327,293.607,309.146,1027.311,10363.65,25218.9
2017-10-31,887.139,293.167,303.003,1023.467,10335.3,25446.6
2017-11-01,893.368,306.16,316.924,1022.768,10440.5,25728.4
2017-11-02,893.81,309.335,311.474,1017.975,10423.8,25768.6
2017-11-03,898.029,308.602,322.027,1013.932,10452.5,25757.5
2017-11-06,896.998,308.797,325.99,1008.19,10451.8,25766.65
2017-11-07,894.595,305.232,314.298,1011.735,10350.15,25736.25
2017-11-08,895.698,298.442,306.718,1009.838,10303.15,25779.65
2017-11-09,896.63,304.108,310.83,1003.797,10308.95,25891.949
2017-11-10,893.761,311.142,330.499,991.866,10321.75,25846.4
2017-11-13,889.616,306.99,328.022,993.164,10224.95,25795.699
2017-11-14,884.122,306.844,326.089,997.657,10186.6,25332.4
2017-11-15,883.092,308.211,321.977,1009.938,10118.05,25191.949
2017-11-16,886.746,311.582,330.35,1015.879,10214.75,25075.1
2017-11-17,895.502,317.589,334.413,1021.62,10283.6,25124.85
2017-11-20,901.683,311.191,329.954,1038.943,10298.75,24851.801
2017-11-21,905.656,312.51,327.625,1028.259,10326.9,25057.25
2017-11-22,910.071,311.533,332.233,1024.665,10342.3,25321.15
2017-11-23,903.989,312.07,331.886,1020.521,10348.75,25404.85
2017-11-24,908.183,309.872,329.359,1028.759,10389.7,25125.449
2017-11-27,911.199,309.677,332.579,1034.849,10399.55,25000.35
2017-11-28,915.026,305.964,328.963,1028.259,10370.25,25168.199
2017-11-29,918.925,307.576,325.891,1024.665,10361.3,25440.301
2017-11-30,909.311,300.445,317.419,998.755,10226.55,25594.551
2017-12-01,906.613,298.198,309.889,1003.598,10121.8,25716.199
2017-12-04,899.696,297.221,310.731,996.409,10127.75,25591.699
2017-12-05,893.0,298.198,316.181,998.306,10118.25,25554.301
2017-12-06,884.588,292.581,309.542,998.106,10044.1,25648.551
2017-12-07,887.703,298.735,313.506,1000.053,10166.7,25675.25
2017-12-08,902.787,303.571,310.236,1007.442,10265.65,25496.051
2017-12-11,905.73,304.255,315.487,1006.942,10322.25,25490.0
2017-12-12,892.731,300.494,315.537,998.855,10240.15,25539.449
2017-12-14,901.634,297.319,311.128,1023.068,10252.1,25338.25
2017-12-15,918.999,296.147,309.394,1028.509,10333.25,25318.6
2017-12-18,921.697,301.764,315.983,1021.62,10388.75,25462.6
2017-12-19,924.419,306.453,316.874,1019.773,10463.2,25601.85
2017-12-20,916.399,308.504,314.595,1011.136,10444.2,25676.1
2017-12-21,916.473,308.162,313.852,1008.989,10440.3,25703.801
2017-12-22,920.569,309.286,316.924,1008.49,10493.0,25617.301
2017-12-26,916.497,310.8,314.249,1014.68,10531.5,25660.9
2017-12-27,910.807,305.574,311.97,1012.484,10490.75,25749.051
